,title,id,max_occur_words,max_occur_number,content_original,content
406,Maluowei station,407,station,3,"Maluowei station

Maluowei station (), is a station of Line S3 of the Nanjing Metro. It started operations on 6 December 2017.",maluowei station maluowei station station s3 nanj metro. start oper 6 decemb 2017.
407,Lanhuatang station,408,station,3,"Lanhuatang station

Lanhuatang station (), is a station of Line S3 of the Nanjing Metro. It started operations on 6 December 2017.",lanhuatang station lanhuatang station station s3 nanj metro. start oper 6 decemb 2017.
408,Shuanglong station Nanjing Metro,409,station,3,"Shuanglong station (Nanjing Metro)

Shuanglong station (), is a station of Line S3 of the Nanjing Metro. It started operations on 6 December 2017.",shuanglong station nanj metro shuanglong station station s3 nanj metro. start oper 6 decemb 2017.
409,Dickson Yu,410,yu,10,"Dickson Yu

Dickson Yu Tak-shing (; born 2 September 1989) is a Hong Kong actor and television presenter. In 2016, Yu debuted as an actor, and scored his first major role in 2017, as ""Ocean"" in TVB's ""My Ages Apart"".

Yu was born and raised in Hong Kong. He attended the Pun U Association Wah Yan Primary School and the prestigious secondary school, Wah Yan College. Yu was a competitive swimmer, and was a member of Hong Kong's national swimming team. Despite being a frequent competitor in athletic meets, Yu failed to qualify for the Asian Games. This led to his decision to forgo his swimming career.

In 2011, Yu graduated with a degree in business administration from the City University of Hong Kong. He worked for a brand company, but quit the job to become a radio DJ and writer for Metro Broadcast. In 2013, Ricky Fan introduced him to TVB.

Yu's first gig with TVB was being a presenter for ""TVB Sports News"". In 2015, Yu was offered a spot to host the children's program series ""Kids, Think Big"". In 2016, he crossed over to TVB's drama department, and was trained by Anthony Wong. He earned minor speak roles in ""Blue Veins"" (2016) and ""Two Steps from Heaven"" (2016). Yu rose to popularity after portraying ""Ocean"" in the 2017 television drama ""My Ages Apart"".",dickson yu dickson yu tak shing ; born 2 septemb 1989 hong kong actor televis presenter. 2016 yu debut actor score major role 2017 ocean tvb age . yu born rais hong kong. attend pun associ wah yan primari school prestigi secondari school wah yan college. yu competit swimmer member hong kong nation swim team. frequent competitor athlet meet yu fail qualifi asian games. lead decis forgo swim career. 2011 yu graduat degre busi administr citi univers hong kong. work brand compani quit job radio dj writer metro broadcast. 2013 ricki fan introduc tvb. yu gig tvb present tvb sport news . 2015 yu offer spot host child program seri kid big . 2016 cross tvb drama depart train anthoni wong. earn minor speak role blue vein 2016 step heaven 2016 . yu rise popular portray ocean 2017 televis drama age .
410,Shiqihe station,411,station,3,"Shiqihe station

Shiqihe station (), is a station of Line S3 of the Nanjing Metro. It started operations on 6 December 2017.",shiqih station shiqih station station s3 nanj metro. start oper 6 decemb 2017.
411,Aspergillus biplanus,412,aspergillu,3,"Aspergillus biplanus

Aspergillus biplanus is a species of the genus of ""Aspergillus"" which occur in soil from subtropical moist forest.",aspergillu biplanu aspergillu biplanu speci genu aspergillu occur soil subtrop moist forest.
412,Qiaolinxincheng station,413,station,3,"Qiaolinxincheng station

Qiaolinxincheng station (), is a station of Line S3 of the Nanjing Metro. It started operations on 6 December 2017.",qiaolinxincheng station qiaolinxincheng station station s3 nanj metro. start oper 6 decemb 2017.
413,Linshan station,414,station,3,"Linshan station

Linshan station (), is a station of Line S3 of the Nanjing Metro. It started operations on 6 December 2017.",linshan station linshan station station s3 nanj metro. start oper 6 decemb 2017.
414,Gaojiachong station,415,station,3,"Gaojiachong station

Gaojiachong station (), is a station of Line S3 of the Nanjing Metro. It started operations on 6 December 2017.",gaojiachong station gaojiachong station station s3 nanj metro. start oper 6 decemb 2017.
415,Goomburra Queensland,416,goomburra,5,"Goomburra, Queensland

Goomburra is a town and a locality in the Southern Downs Region, Queensland, Australia.

Goomburra is the valley of Dalrymple Creek which flows from east to west away from the Great Dividing Range towards Allora. The creek eventually becomes a tributary of the Condamine River.

The town's name came from the name of a pastoral run operated by pastoralist Patrick Leslie from 1840 to 1841. It is an Aboriginal word which is either a corruption of ""gooneburra"" meaning ""fire black tribe"", or which means a ""shield derived from the kurrajong tree"".

Goomburra was the terminus of the Goomburra railway line which opened in 1912 and closed in 1961.",goomburra queensland goomburra town local southern down region queensland australia. goomburra valley dalrympl creek flow east west great divid rang allora. creek eventu tributari condamin river. town pastor oper pastoralist patrick lesli 1840 1841. aborigin word corrupt gooneburra mean black tribe shield deriv kurrajong tree . goomburra terminu goomburra railway open 1912 close 1961.
416,Alice Acheson,417,acheson,8,"Alice Acheson

Alice Stanley Acheson (August 12, 1895 – January 20, 1996) was an American painter and printmaker.

Born in Charlevoix, Michigan, Acheson was the daughter of artist Jane C. Stanley and granddaughter of John Mix Stanley; her father Louis was a railroad lawyer. She grew up in Detroit. She majored in art at Wellesley College, where among her classmates was the sister of Dean Acheson, who introduced the couple; the two married in May 1917, the same month in which she graduated from college. She continued her artistic studies both before and after moving to Washington, D.C. with her husband, taking lessons at the School of the Museum of Fine Arts, Boston, the Corcoran School of Art, and the school at the Phillips Collection. From 1919 she was active in as an artist in Washington, eventually joining and exhibiting with the Society of Washington Artists, from which she received an honorable mention in 1940; she was also an active member of the Washington Water Color Club, the Artists Guild of Washington, and the National Association of Women Artists. For the duration of World War II she abandoned painting to pursue agriculture in support of the war effort, also teaching painting and drawing to wounded servicemen at the Forest Glen annex of Walter Reed Army Medical Center. She took it up again when her husband was appointed United States Secretary of State, but she refused to exhibit until he returned to private life, feeling she would be using his fame to further her own career. Acheson was described as a fashionable woman who, though she took scant interest in foreign affairs, was devoted to her husband and would defend him against any ill feeling. The couple were the parents of three children, all of whom survived her, as did six grandchildren and six great-grandchildren. She was also noted for her passion for Scrabble and for her independent spirit, at 85 telling off a teenage mugger who attempted to rob her. Acheson died at her home in Washington, and was buried in Oak Hill Cemetery alongside her husband.

Acheson worked in pastels, watercolor, and oils during her career, progressing from a representational style to something approaching abstraction. Four of her works are in the collection of the Hirshhorn Museum and Sculpture Garden, part of the original bequest by Joseph Hirshhorn; they include a still-life in oil, dated before 1956; an undated landscape in oil; a 1975 watercolor view of Phnom Penh; and a 1970 collage titled ""The City"". Two undated watercolors are owned by the Smithsonian American Art Museum. Other pieces are owned by the Phillips Collection, the National Museum of Women in the Arts, and the Harry S. Truman Presidential Library and Museum. Her work was formerly in the collection of the Corcoran Gallery of Art, and may be found as well at American University and in the Barnett-Aden Collection. Several of her linoleum cut prints were used to illustrate ""New Roads in Old Virginia"" by Agnes Rothberg in 1937. A vertical file pertaining to Acheson's work is at the library of the Phillips Collection; other papers may be found with her husband's private documents at the Yale University Library. She is also featured in some materials held among her husband's official papers at the Harry S. Truman Presidential Library and Museum.",alic acheson alic stanley acheson august 12 1895 januari 20 1996 american painter printmaker. born charlevoix michigan acheson daughter artist jane c. stanley granddaught john mix stanley; father loui railroad lawyer. grow detroit. major art wellesley colleg classmat sister dean acheson introduc couple; marri 1917 month graduat college. continu artist studi move washington d.c. husband lesson school museum fine art boston corcoran school art school phillip collection. 1919 activ artist washington eventu join exhibit societi washington artist receiv honor mention 1940; activ member washington water color club artist guild washington nation associ woman artists. durat war ii abandon paint pursu agricultur support war effort teach paint draw wound serviceman forest glen annex walter reed armi medic center. husband appoint unit secretari refus exhibit return privat life feel fame career. acheson fashion woman scant foreign affair devot husband defend ill feeling. coupl parent child surviv grandchild great grandchildren. passion scrabbl independ spirit 85 tell teenag mugger attempt rob her. acheson die washington buri oak hill cemeteri husband. acheson work pastel watercolor oil career progress represent style approach abstraction. work collect hirshhorn museum sculptur garden origin bequest joseph hirshhorn; includ life oil date 1956; undat landscap oil; 1975 watercolor view phnom penh; 1970 collag titl citi . undat watercolor own smithsonian american art museum. piec own phillip collect nation museum woman art harri s. truman presidenti librari museum. work collect corcoran galleri art american univers barnett aden collection. linoleum cut print illustr road virginia agn rothberg 1937. vertic file pertain acheson work librari phillip collection; paper husband privat document yale univers library. featur materi held husband offici paper harri s. truman presidenti librari museum.
417,Huitonglu station,418,station,3,"Huitonglu station

Huitonglu station (), is a station of Line 4 of the Nanjing Metro. It started operations on 18 January 2017.",huitonglu station huitonglu station station 4 nanj metro. start oper 18 januari 2017.
418,Mengbei station,419,station,3,"Mengbei station

Mengbei station (), is a station of Line 4 of the Nanjing Metro. It started operations on 18 January 2017.",mengbei station mengbei station station 4 nanj metro. start oper 18 januari 2017.
419,Alexis Demirdjian,420,trial,4,"Alexis Demirdjian

Alexis Demirdjian is a Canadian attorney. He has worked at the ICC since 2015 and previously worked as a trial attorney at the ICTYs Office of the Prosecutor (OTP) in the Hague. He graduated from the Université de Montréal with a Masters in International Law. 

Demirdjian published a 2005 paper with Rodney Dixon, a member of Association of Defence Counsel of the ICTY, about plea-bargaining at the ICTY, where they noted that defense attorneys advising clients must be extremely resourceful in exploring all possible grounds for mitigation given the broad discretionary powers of the Trial Chambers. They noted that sentence reductions were unlikely due to the serious nature of the crimes brought before the Trial Chambers, adding that in most cases, the Trial Chambers would follow the recommendations of the OTP. They identified several key ""mitigating circumstances"" including the resources of the tribunal, protecting the interests of the victims and a genuine admission of guilt. 

He edited an interdisciplinary volume called ""The Armenian Genocide Legacy"" for the centennial anniversary of the Armenian Genocide.",alexi demirdjian alexi demirdjian canadian attorney. work icc 2015 work trial attorney icti offic prosecutor otp hague. graduat université montréal master intern law. demirdjian publish 2005 paper rodney dixon member associ defenc counsel icti plea bargain icti defens attorney advis client extrem resourc explor ground mitig broad discretionari power trial chambers. sentenc reduct natur crime brought trial chamber add case trial chamber follow recommend otp. identifi key mitig circumst includ resourc tribun protect interest victim genuin admiss guilt. edit interdisciplinari volum call armenian genocid legaci centenni anniversari armenian genocide.
420,Chemical Department Royal Navy,421,depart,6,"Chemical Department (Royal Navy)

The Chemical Department and later known as the Central Dockyard Laboratory was the Admiralty department that was responsible for the testing and trials of lubricants, metals and paints for the Royal Navy it was based at Portsmouth, England from 1870 to 1977.

The Admiralty Chemical Department, Portsmouth, originated in the appointment of an Admiralty Chemist in 1867. In 1870 as the work of the ADMC was expanding led to the creation of a department with supporting researchers and clerical staff being established. In 1956 specific functions of the Central Metallurgical Laboratory transferred to the department when it was re-styled as the Central Dockyard Laboratory. In 1977 it merged with Admiralty Marine Technology Establishment but remained a sub-division of that organisation. It provided Support Services for fleet and shore establishments, including metallurgy, chemistry, biology, paint technology and reactor chemistry research. 

""Post holders included:""
Of note: this is an incomplete list of office holders.",chemic depart royal navi chemic depart central dockyard laboratori admiralti depart respons test trial lubric metal paint royal navi base portsmouth england 1870 1977. admiralti chemic depart portsmouth origin appoint admiralti chemist 1867. 1870 work admc expand lead creation depart support research cleric staff established. 1956 specif function central metallurg laboratori transfer depart style central dockyard laboratory. 1977 merg admiralti marin technolog establish remain divis organisation. support servic fleet shore establish includ metallurgi chemistri biolog paint technolog reactor chemistri research. post holder includ note incomplet list offic holders.
421,Xiganghuashu station,422,station,3,"Xiganghuashu station

Xiganghuashu station (), is a station of Line 4 of the Nanjing Metro. It started operations on 18 January 2017.",xiganghuashu station xiganghuashu station station 4 nanj metro. start oper 18 januari 2017.
422,Bullish album,423,album,6,"Bullish (album)

Bullish is a 1984 album released by Herb Alpert and the Tijuana Brass, though the Tijuana Brass was not involved in the making of this album. The album was reissued in 2017. The music of the album is mostly funk-synth, with Herb Alpert's characteristic trumpet in accompaniment. The album is mostly instrumental, though Lani Hall provides vocals on the track ""Maniac"".",bullish album bullish 1984 album releas herb alpert tijuana brass tijuana brass involv make album. album reissu 2017. music album funk synth herb alpert characterist trumpet accompaniment. album instrument lani hall vocal track maniac .
423,Alexander Yevstifeyev,424,yevstifeyev law,8,"Alexander Yevstifeyev

Alexander Alexandrovich Yevstifeyev (; born 14 May 1958) is a Russian politician and lawyer, who is the 4th and current Head of the Mari El Republic.

Yevstifeyev was born on 14th of May 1958 in the settlement of Bredy in Chelyabinsk Oblast. His father worked as a cashier in the State Bank of the USSR and his mother was a nurse. After finishing grade school he worked in highway management for Chelyabinsk Oblast.

In 1980 Yevstifeyev graduated from the Sverdlovsk Law Institute, and in 1984 he finished his postgraduate studies.

Between 1980 and 2000 he worked at the Sverdlovsk Law Institute as a lecturer, associate Professor, Professor of Civil Law, Dean of the Investigation Department, Director of the Institute of justice and Ural state law Academy (now Institute of justice, Ural state law University).

In 2000-2002 he held the post of Deputy Plenipotentiary representative of RF President in the Volga Federal District, where he coordinated the harmonization of laws of the fifteen regions of the Russian Federation in compliance with the Constitution of the Russian Federation and Federal legislation.

From 2002 to 2004 he was a Senator, representing Yamalo-Nenets Autonomous Okrug.

From 2004 to 2012, he was the Chairman of the Ninth arbitration appeals court that performs judicial acts adopted by Arbitration court of Moscow, as well as Deputy Chairman of the Supreme qualification Collegium of judges.

From 2014 to 2017 he was the Chairman of the Arbitration Court of the Moscow Oblast.

On 6th of April 2017, by the decree of the President of Russia, he was appointed as acting Head of the Mari El Republic.

On 19th of May 2017 Yevstifeyev declared his intent to run for the position of the Head of the Republic. Despite the fact that he is a non-partisan, he participated in the primaries of United Russia for the party nomination. Additionally Yevstifeyev was supported by the Communist Party.

On 10th September 2017, Alexander Yevstifeyev won the election in a landslide victory, gaining 88.27% of the votes.

On 21st September he assumed the position of Head of the Mari El Republic.

Yevstifeyev is married, with two sons. His wife is named Yulia. His eldest son, Artyom, is a graduate of the Moscow Academy of Law and works as an assistant to the special prosecutor. His younger son Alexander is a student at the law faculty of Moscow State University.",alexand yevstifeyev alexand alexandrovich yevstifeyev ; born 14 1958 russian politician lawyer 4th current head mari el republic. yevstifeyev born 14th 1958 settlement bredi chelyabinsk oblast. father work cashier bank ussr mother nurse. finish grade school work highway manag chelyabinsk oblast. 1980 yevstifeyev graduat sverdlovsk law institut 1984 finish postgradu studies. 1980 2000 work sverdlovsk law institut lectur associ professor professor civil law dean investig depart director institut justic ural law academi institut justic ural law univers . 2000 2002 held post deputi plenipotentiari repres rf presid volga feder district coordin harmon law region russian feder complianc constitut russian feder feder legislation. 2002 2004 senat repres yamalo nenet autonom okrug. 2004 2012 chairman ninth arbitr appeal court perform judici act arbitr court moscow deputi chairman suprem qualif collegium judges. 2014 2017 chairman arbitr court moscow oblast. 6th april 2017 decre presid russia appoint act head mari el republic. 19th 2017 yevstifeyev declar intent posit head republic. fact partisan particip primari unit russia parti nomination. addit yevstifeyev support communist party. 10th septemb 2017 alexand yevstifeyev elect landslid victori gain 88.27 votes. 21st septemb assum posit head mari el republic. yevstifeyev marri sons. wife name yulia. eldest son artyom graduat moscow academi law work assist special prosecutor. young son alexand student law faculti moscow university.
424,Renan Faccini,425,renan,14,"Renan Faccini

Renan ""Crow"" Faccini (born September 1, 1989) is a Brazilian professional bodyboarder born in Santos, São Paulo.

At the age of 7 Renan moved with his mother to the United States and started bodyboarding once he was 10 on the famous beach of The Wedge in California. After the 9/11 terrorist attacks Renan moved back with his family to Brazil where he began to take bodyboarding seriously and made it a goal to make a living out of the sport.
He started to compete when he was 15 and won junior division, amateur and professional competitions of São Paulo-Brasil nationals.

He also won best trick and placed 3rd on the shore break championship at Rio de Janeiro in 2009 as the youngest athlete in the competition that included some of the best bodyboarders in Brazil.

He got sponsored by European brand Respect Bodyboards and Deluxe Fins where he eventually developed his own Pro Model signature Board and Fins that began selling worldwide.

On the age of 19 Renan decided to stop competiting and start focusing on free style bodyboarding, making videos and gaining recognition.

His first movie ""Addiction: the Movie"" launched in 2011 at a theater in Santos and afterwards was released online garnering thousands of views.

Renan also participated on Passing Through, winner of Best Feature Film of the Year by RipTide Magazine.

Renan won the Nikon surf photo of the year in 2014 and best photo of the Red Bull Illume photo awards in 2016, both with a photo taken by Luke Shadbolt.

In 2015 Renan won the third event of the Free Surf Bodyboarding World Tour with a total of 34% of the public and judge votes.

In 2015 Renan launched the Slasher Pull, a machine designed by him as the first portable winch made for bodyboard tow outs and that resists salt water and sand, capable of pulling athletes at 50 km/h with a rope within seconds to hit waves and perform big tricks even in small waves, changing what you can do with a bodyboard in bad wave conditions. The Slasher Pull 2.0 was later developed and began being sold worldwide. 

In 2016 Renan was featured on the surfing and bodyboarding game YouRiding with over 100 thousand downloads on the Apple store and Google Play. It includes Renan's tips to make it through his favorite wave in Brazil and also features his personal board design as a playable board.

In 2016 Renan launched his new movie Show Time, selling out the Guarany theater in the city of Santos with 400 tickets sold.

In 2017 Renan and his brother Luke Faccini started their own brand SkullBoards, selling Renan Faccini's signature pro models worldwide.",renan faccini renan crow faccini born septemb 1 1989 brazilian profession bodyboard born santo são paulo. age 7 renan move mother unit start bodyboard 10 famou beach wedg california. 9 11 terrorist attack renan move famili brazil begin bodyboard goal live sport. start compet 15 junior divis amateur profession competit of são paulo brasil nationals. trick 3rd shore break championship rio janeiro in 2009 young athlet competit includ bodyboard brazil. sponsor european brand respect bodyboard delux fin eventu develop pro model signatur board fin begin sell worldwide. age 19 renan decid competit start focu free style bodyboard make video gain recognition. movi addict movi launch 2011 theater santo releas onlin garner thousand views. renan particip pass winner featur film year riptid magazine. renan nikon surf photo year 2014 photo red bull illum photo award 2016 photo luke shadbolt. 2015 renan event free surf bodyboard tour total 34 public judg votes. 2015 renan launch slasher pull machin design portabl winch bodyboard tow out resist salt water sand capabl pull athlet 50 km rope within second hit wave perform big trick small wave chang bodyboard bad wave conditions. slasher pull 2.0 develop begin sell worldwide.  2016 renan featur surf bodyboard game yourid 100 download appl store googl play. includ renan tip favorit wave brazil featur person board design playabl board. 2016 renan launch movi time sell guarani theater citi santo 400 ticket sold. 2017 renan brother luke faccini start brand skullboard sell renan faccini signatur pro model worldwide.
425,Tongshan station,426,station,3,"Tongshan station

Tongshan station (), is a station of Line S9 of the Nanjing Metro. It started operations on 30 December 2017.",tongshan station tongshan station station s9 nanj metro. start oper 30 decemb 2017.
426,Shijiao station,427,station,3,"Shijiao station

Shijiao station (), is a station of Line S9 of the Nanjing Metro. It started operations on 30 December 2017.",shijiao station shijiao station station s9 nanj metro. start oper 30 decemb 2017.
427,Mingjue station,428,station,3,"Mingjue station

Mingjue station (), is a station of Line S9 of the Nanjing Metro. It started operations on 30 December 2017.",mingju station mingju station station s9 nanj metro. start oper 30 decemb 2017.
428,Aspergillus flavescens,429,aspergillu,4,"Aspergillus flavescens

Aspergillus flavescens is a rare species of the genus of ""Aspergillus"". ""Aspergillus flavescens"" can cause Myringomycosis.",aspergillu flavescen aspergillu flavescen rare speci genu aspergillu . aspergillu flavescen myringomycosis.
429,The Forgotten It Begins,430,game,15,"The Forgotten: It Begins

The Forgotten: It Begins is a 1999 non-violent adventure/puzzle video game developed by Ransom Interactive and published by DreamCatcher Interactive. A sequel was to be released called The Forgotten II: The Collection. ""The Forgotten"" narrative was originally supposed to last over 7 games (""modules""), but these were never completed.

The concept of serialisation was decided early on in the development of ""The Forgotten"" storyline in 1995 - a franchise that runs over seven games (""modules""). The genre of game was due to the response from customers regarding Dreamcatcher's earlier titles ""Beyond Time"" and ""Jewels of the Oracle"", which expressed a desire for ""non-violent, adventure/puzzle style games"".

The website went live on October 19, 1999. The unreleased game , announced on October 21, 1999, was to be based on a character from ""The Forgotten""; a multi-level demo was planned for E3 in the spring of 2000, but did not materialize. The game shipped on November 15, 1999 to EBX, Babbages, Microcenter and other stores, and could also be purchased online off Dreamcatcher Games Online Store.

""The Forgotten II: The Collection"" picked up where the original left off plot-wise. The narrative was originally supposed to be covered in 7 games; by April 2000, complete storyline for all seven modules had been fully developed, and the story arcs and puzzles for Episodes 2 and 3 were completed. At this time, the modeling and artwork has begun, and the game interface had been reworked to allow for larger panoramas and puzzles. A new gaming engine was also being developed for better flexibility and performance in Forgotten II and future games. The first two titles were to be released on single CDs, while the 3rd-7th were to be targeted for DVD. 

The objective of the game is to find Richard Haliburton, who has gone missing in the city of New Orleans.

While critics appreciated the game's atmosphere and approachability, as well as its intriguing premise, the game was also criticized for its short length and poorly-developed story. Others criticized the game's lack of urgency or danger.",forgotten forgotten 1999 violent adventur puzzl video game develop ransom interact publish dreamcatch interactive. sequel releas call forgotten ii collection. forgotten narr origin suppos 7 game modul completed. concept serialis decid earli develop forgotten storylin 1995 franchis run game modul . genr game respons custom dreamcatch earlier titl time jewel oracl express desir violent adventur puzzl style game . websit live octob 19 1999. unreleas game announc octob 21 1999 base charact forgotten ; multi level demo plan e3 spring 2000 materialize. game ship novemb 15 1999 ebx babbag microcent store purchas onlin dreamcatch game onlin store. forgotten ii collect pick origin left plot wise. narr origin suppos cover 7 games; april 2000 complet storylin modul fulli develop stori arc puzzl episod 2 3 completed. time model artwork begin game interfac rework larg panorama puzzles. game engin develop flexibl perform in forgotten ii and futur games. titl releas singl cd 3rd 7th target dvd.  object game richard haliburton miss citi orleans. critic appreci game atmospher approach intrigu premis game critic short length develop story. critic game lack urgenc danger.
430,Tuanjiewei station,431,station,3,"Tuanjiewei station

Tuanjiewei station (), is a station of Line S9 of the Nanjing Metro. It started operations on 30 December 2017.",tuanjiewei station tuanjiewei station station s9 nanj metro. start oper 30 decemb 2017.
431,Thomas Francis Hyland,432,hyland,17,"Thomas Francis Hyland

Thomas Francis Hyland (c. 1831 – 1 March 1920) was a businessman of Victoria, Australia, instrumental in turning Penfolds Wines from a cottage industry to an Australian icon.

Thomas Francis Hyland was born in Ireland, the youngest son of John Hyland, of Ballinamallard, Ireland.
He migrated to Australia at the time of the gold rush, worked at the diggings, and in 1853 gained employment as a warder at Pentridge Stockade then the hulk ""President"", was promoted to chief warder of the hulk ""Success"", was transferred to Collingwood Stockade, then governor of Portland Gaol, finally to become around 1868 the notoriously hard-driving governor of Castlemaine Gaol.

On 24 September 1862, he married Mary Georgina Anne ""Georgina"" Penfold, only child of Dr. Christopher Rawson Penfold (2 August 1811 – 26 March 1870) and Mary Penfold, née Holt (1816 – 31 December 1895) of ""The Grange"", Magill.
The Hylands' daughter Inez Kathleen Hyland was born 16 August 1863, and from age eight lived with her grandmother at The Grange, Magill. She was not a strong child, and her parents believed the clear air and moderate climate of Magill would be beneficial to her health. A strong bond grew between the two: Inez was a brilliant and imaginative child and Mary encouraged her writing, especially her poetry. Even well into her late 20s, Inez seems to have no other life; perhaps she was an invalid. She died from typhoid fever on 11 January 1892, and Mary left for Melbourne shortly after, never to return. She published a collection of her granddaughter's work, as ""In Sunshine and in Shadow"" in 1893, which received some excellent, if mixed, reviews.
Hyland recommended to Mary Penfold, presumptuously some reckon, that she sell the business and retire, a not unrealistic suggestion, as the property and business had become quite valuable and the sale would enable her to live in comfort indefinitely, but she was adamant: the winery was her life, and like Ann Bickford twenty years earlier, determined to keep alive the business her husband started.
Another reading could be that Hyland, who would have known his mother-in-law well, was offering his moral support whichever route she chose.

On 14 September 1881 they signed an arrangement: that Hyland should be Penfolds' accountant and their marketing agent for Victoria, where he would continue to live, leaving Mary to run the winery, and receive 10% of profits.
Hyland, who had in 1876 taken 12 months' leave of absence in 1876 preparatory, it was thought, to retiring, finally retired from Castlemaine Gaol and the Penal Department in 1883.

Mary died in 1895; the following year some members of the family adopted the style ""Penfold Hyland"", recognising the importance of the name ""Penfold"". It later frequently appeared in print hyphenated as ""Penfold-Hyland"", but with what justification it is difficult to ascertain.

Under Hyland's guidance, the company established vineyards and wineries at McLaren Vale and Nuriootpa in South Australia, and Dalwood and Minchinbury in New South Wales and offices in Adelaide, Sydney, Melbourne, Perth, and London. His son Frank Hyland managed the business in Sydney and Leslie Hyland in Adelaide

Georgina died at home on 27 August 1911 aged 67, and her remains were interred at Brighton General Cemetery. Thomas Francis Hyland also died at home, at the age of 88 years.

Thomas Francis Hyland (c. 1831 – 1 March 1920) married (Mary) Georgina Penfold (1835 – 27 August 1911) on 1861. Their family included:

From around 1890 they lived at ""Moorabbin"", Were Street, Brighton Beach.",thoma franci hyland thoma franci hyland c. 1831 1 march 1920 businessman victoria australia instrument turn penfold wine cottag industri australian icon. thoma franci hyland born ireland young son john hyland ballinamallard ireland. migrat australia time gold rush work dig 1853 gain employ warder pentridg stockad hulk presid promot chief warder hulk success transfer collingwood stockad governor portland gaol final 1868 notori hard drive governor castlemain gaol. 24 septemb 1862 marri mari georgina ann georgina penfold child dr. christoph rawson penfold 2 august 1811 26 march 1870 mari penfold née holt 1816 31 decemb 1895 grang magill. hyland daughter inez kathleen hyland born 16 august 1863 age live grandmoth grang magill. strong child parent believ clear air moder climat magil benefici health. strong bond grow inez brilliant imagin child mari encourag write poetry. late 20 inez life; invalid. die typhoid fever 11 januari 1892 mari left melbourn shortli return. publish collect granddaught work sunshin shadow 1893 receiv excel mix reviews. hyland recommend mari penfold presumptu reckon sell busi retir unrealist suggest properti busi valuabl sale enabl live comfort indefinit adam wineri life ann bickford year earlier determin aliv busi husband started. read hyland mother law offer moral support rout chose. 14 septemb 1881 sign arrang hyland penfold account market agent victoria continu live leav mari wineri receiv 10 profits. hyland 1876 12 month leav absenc 1876 preparatori thought retir final retir castlemain gaol penal depart 1883. mari die 1895; year member famili style penfold hyland recognis penfold . frequent appear print hyphen penfold hyland justif difficult ascertain. hyland guidanc compani establish vineyard wineri mclaren vale nuriootpa south australia dalwood minchinburi south wale offic adelaid sydney melbourn perth london. son frank hyland manag busi sydney lesli hyland adelaid georgina die 27 august 1911 age 67 remain inter brighton gener cemetery. thoma franci hyland die age 88 years. thoma franci hyland c. 1831 1 march 1920 marri mari georgina penfold 1835 27 august 1911 1861. famili includ 1890 live moorabbin street brighton beach.
432,Gaochun station,433,station,3,"Gaochun station

Gaochun station (), is a station of Line S9 of the Nanjing Metro. It started operations on 30 December 2017.",gaochun station gaochun station station s9 nanj metro. start oper 30 decemb 2017.
433,Sara Mohamed,434,moham,5,"Sara Mohamed

Sarah Abdullah Abdul Latif Mohammed (, born July 6, 1990), shortly Sara Mohamed, is an Egyptian football defender. She is a member of the Egyptian national team. Currently, she is playing in the Turkish Women's First Football League for Trabzon İdmanocağı with jersey number 4.

Sara Mohamed was born in Cairo, Egypt on July 6, 1990.

Mohamed played for the Cairo-based Wadi Degla SC before she moved in November 2017 to Turkey to join Trabzon İdmanocağı, who play in the Turkish Women's First Football League.

Mohamed appeared for the Egypt women's national football team at the 2016 Africa Women Cup of Nations held in Cameroon.",sara moham sarah abdullah abdul latif moham born juli 6 1990 shortli sara moham egyptian footbal defender. member egyptian nation team. play turkish woman footbal leagu trabzon i̇dmanocağı jersey number 4. sara moham born cairo egypt juli 6 1990. moham play cairo base wadi degla sc move novemb 2017 turkey join trabzon i̇dmanocağı play turkish woman footbal league. moham appear egypt woman nation footbal team 2016 africa woman cup nation held cameroon.
